assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000013425.1	PRJNA57795	SAMN02604235			reference genome		93061	1280	Staphylococcus aureus subsp. aureus NCTC 8325	strain=NCTC 8325		latest	Complete Genome	Major	Full	2006/02/13	ASM1342v1	University of Oklahoma Health Sciences Center	GCA_000013425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000013425.1/GCF_000013425.1_ASM1342v1_genomic.gbff.gz
GCF_000013465.1	PRJNA224116	SAMN02604150			na		451515	1280	Staphylococcus aureus subsp. aureus USA300_FPR3757	strain=FPR3757		latest	Complete Genome	Major	Full	2006/02/10	ASM1346v1	University of California, San Francisco	GCA_000013465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/465/GCF_000013465.1_ASM1346v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000013465.1/GCF_000013465.1_ASM1346v1_genomic.gbff.gz
GCF_000016805.1	PRJNA224116	SAMN02598343			na		359786	1280	Staphylococcus aureus subsp. aureus JH9	strain=JH9		latest	Complete Genome	Major	Full	2007/05/18	ASM1680v1	US DOE Joint Genome Institute	GCA_000016805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/805/GCF_000016805.1_ASM1680v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000016805.1/GCF_000016805.1_ASM1680v1_genomic.gbff.gz
GCF_000017085.1	PRJNA224116	SAMN00253845			na		451516	1280	Staphylococcus aureus subsp. aureus USA300_TCH1516	strain=USA300_TCH1516		latest	Complete Genome	Major	Full	2009/03/24	ASM1708v1	Baylor College of Medicine	GCA_000017085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/085/GCF_000017085.1_ASM1708v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000017085.1/GCF_000017085.1_ASM1708v1_genomic.gbff.gz
GCF_000017125.1	PRJNA224116	SAMN02598344			na		359787	1280	Staphylococcus aureus subsp. aureus JH1	strain=JH1		latest	Complete Genome	Major	Full	2007/06/28	ASM1712v1	US DOE Joint Genome Institute	GCA_000017125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/125/GCF_000017125.1_ASM1712v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000017125.1/GCF_000017125.1_ASM1712v1_genomic.gbff.gz
GCF_000024585.1	PRJNA224116	SAMN02604165			na		681288	1280	Staphylococcus aureus subsp. aureus ED98	strain=ED98		latest	Complete Genome	Major	Full	2009/10/27	ASM2458v1	University of Edinburgh	GCA_000024585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/585/GCF_000024585.1_ASM2458v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000024585.1/GCF_000024585.1_ASM2458v1_genomic.gbff.gz
GCF_000025145.1	PRJNA224116	SAMN02603764			na		703339	1280	Staphylococcus aureus 04-02981	strain=04-02981		latest	Complete Genome	Major	Full	2010/11/05	ASM2514v1	Robert Koch Institut	GCA_000025145.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/145/GCF_000025145.1_ASM2514v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000025145.1/GCF_000025145.1_ASM2514v1_genomic.gbff.gz
GCF_000027045.1	PRJNA224116	SAMEA2272282			na		663951	1280	Staphylococcus aureus subsp. aureus TW20	strain=TW20		latest	Complete Genome	Major	Full	2009/11/25	ASM2704v1	The Wellcome Trust Sanger Institute	GCA_000027045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/045/GCF_000027045.1_ASM2704v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000027045.1/GCF_000027045.1_ASM2704v1_genomic.gbff.gz
GCF_000144955.1	PRJNA224116	SAMN02604217			na		869816	1280	Staphylococcus aureus subsp. aureus JKD6159	strain=JKD6159		latest	Complete Genome	Major	Full	2010/08/23	ASM14495v1	University of Melbourne	GCA_000144955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/955/GCF_000144955.1_ASM14495v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000144955.1/GCF_000144955.1_ASM14495v1_genomic.gbff.gz
GCF_000145595.1	PRJNA224116	SAMN02603619			na		546342	1280	Staphylococcus aureus subsp. aureus str. JKD6008	strain=JKD6008		latest	Complete Genome	Major	Full	2010/08/13	ASM14559v1	Monash University	GCA_000145595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/595/GCF_000145595.1_ASM14559v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000145595.1/GCF_000145595.1_ASM14559v1_genomic.gbff.gz
GCF_000159535.2	PRJNA224116	SAMN00002240			na		548473	1280	Staphylococcus aureus subsp. aureus TCH60	strain=MRSA_TCH60		latest	Complete Genome	Major	Full	2010/11/23	ASM15953v2	Baylor College of Medicine	GCA_000159535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/535/GCF_000159535.2_ASM15953v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000159535.2/GCF_000159535.2_ASM15953v2_genomic.gbff.gz
GCF_000160335.2	PRJNA224116	SAMN00103091			na		585143	1280	Staphylococcus aureus subsp. aureus 55/2053	strain=55/2053		latest	Complete Genome	Major	Full	2013/08/21	ASM16033v2	Broad Institute	GCA_000160335.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/335/GCF_000160335.2_ASM16033v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000160335.2/GCF_000160335.2_ASM16033v2_genomic.gbff.gz
GCF_000189455.2	PRJNA224116	SAMN02469934			na		948563	1280	Staphylococcus aureus O46	strain=O46		latest	Complete Genome	Major	Full	2017/12/20	ASM18945v3	INRA	GCA_000189455.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/455/GCF_000189455.2_ASM18945v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000189455.2/GCF_000189455.2_ASM18945v3_genomic.gbff.gz
GCF_000204665.1	PRJNA224116	SAMN02603905			na		1006543	1280	Staphylococcus aureus subsp. aureus T0131	strain=T0131		latest	Complete Genome	Major	Full	2011/04/19	ASM20466v1	TEDA School of Biological Sciences and Biotechnology, Nankai University	GCA_000204665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/665/GCF_000204665.1_ASM20466v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000204665.1/GCF_000204665.1_ASM20466v1_genomic.gbff.gz
GCF_000210315.1	PRJNA224116	SAMN02604166			na		685039	1280	Staphylococcus aureus subsp. aureus ED133	strain=ED133		latest	Complete Genome	Major	Full	2010/06/21	ASM21031v1	University of Edinburgh	GCA_000210315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/315/GCF_000210315.1_ASM21031v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000210315.1/GCF_000210315.1_ASM21031v1_genomic.gbff.gz
GCF_000237125.2	PRJNA224116	SAMN02603643			na		1118959	1280	Staphylococcus aureus subsp. aureus M013	strain=M013		latest	Complete Genome	Major	Full	2019/05/15	ASM23712v3	National Health Research Institutes	GCA_000237125.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/125/GCF_000237125.2_ASM23712v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000237125.2/GCF_000237125.2_ASM23712v3_genomic.gbff.gz
GCF_000237265.1	PRJNA224116	SAMEA2272771			na		985006	1280	Staphylococcus aureus subsp. aureus LGA251	strain=LGA251		latest	Complete Genome	Major	Full	2011/08/23	ASM23726v1	The Wellcome Trust Sanger Institute	GCA_000237265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/265/GCF_000237265.1_ASM23726v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000237265.1/GCF_000237265.1_ASM23726v1_genomic.gbff.gz
GCF_000239235.1	PRJNA224116	SAMN02603886			na		1123523	1280	Staphylococcus aureus subsp. aureus 11819-97	strain=11819-97		latest	Complete Genome	Major	Full	2011/12/21	ASM23923v1	Statens Serum Institut	GCA_000239235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/235/GCF_000239235.1_ASM23923v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000239235.1/GCF_000239235.1_ASM23923v1_genomic.gbff.gz
GCF_000245495.1	PRJNA224116	SAMN02603393			na		1028799	1280	Staphylococcus aureus subsp. aureus VC40	strain=VC40		latest	Complete Genome	Major	Full	2012/02/01	ASM24549v1	Institute of Medical Microbiology, Immunology and Parasitology (IMMIP), University of Bonn, Sigmund-Freud-Str. 25, 53105 Bonn, Germany	GCA_000245495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/495/GCF_000245495.1_ASM24549v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000245495.1/GCF_000245495.1_ASM24549v1_genomic.gbff.gz
GCF_000253135.1	PRJNA224116	SAMEA2271964			na		889933	1280	Staphylococcus aureus subsp. aureus ECT-R 2		ECT-R 2	latest	Complete Genome	Major	Full	2010/11/24	ASM25313v1	The Norwegian High-Throughput Sequencing Centre	GCA_000253135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/135/GCF_000253135.1_ASM25313v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000253135.1/GCF_000253135.1_ASM25313v1_genomic.gbff.gz
GCF_000284535.1	PRJNA224116	SAMEA2272552			na		1074252	1280	Staphylococcus aureus subsp. aureus HO 5096 0412	strain=HO 5096 0412		latest	Complete Genome	Major	Full	2012/04/23	ASM28453v1	Wellcome Trust Sanger Insititute	GCA_000284535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/535/GCF_000284535.1_ASM28453v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000284535.1/GCF_000284535.1_ASM28453v1_genomic.gbff.gz
GCF_000296595.1	PRJNA224116	SAMN02603722			na		1229492	1280	Staphylococcus aureus 08BA02176	strain=08BA02176		latest	Complete Genome	Major	Full	2012/09/14	ASM29659v1	Public Health Agency of Canada	GCA_000296595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/595/GCF_000296595.1_ASM29659v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000296595.1/GCF_000296595.1_ASM29659v1_genomic.gbff.gz
GCF_000382965.1	PRJNA224116	SAMEA2272458			na		1074919	1280	Staphylococcus aureus subsp. aureus ST228	strain=ST228	16035	latest	Complete Genome	Major	Full	2012/10/05	ASM38296v1	Swiss Institute of Bioinformatics - Vital-IT group	GCA_000382965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/965/GCF_000382965.1_ASM38296v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000382965.1/GCF_000382965.1_ASM38296v1_genomic.gbff.gz
GCF_000382985.1	PRJNA224116	SAMEA2272299			na		1074919	1280	Staphylococcus aureus subsp. aureus ST228	strain=ST228	16125	latest	Complete Genome	Major	Full	2012/10/05	ASM38298v1	Swiss Institute of Bioinformatics - Vital-IT group	GCA_000382985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/985/GCF_000382985.1_ASM38298v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000382985.1/GCF_000382985.1_ASM38298v1_genomic.gbff.gz
GCF_000383005.1	PRJNA224116	SAMEA2272502			na		1074919	1280	Staphylococcus aureus subsp. aureus ST228	strain=ST228	18583	latest	Complete Genome	Major	Full	2012/10/05	ASM38300v1	Swiss Institute of Bioinformatics - Vital-IT group	GCA_000383005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/005/GCF_000383005.1_ASM38300v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000383005.1/GCF_000383005.1_ASM38300v1_genomic.gbff.gz
GCF_000412775.1	PRJNA224116	SAMN02603909			na		1323661	1280	Staphylococcus aureus CA-347	strain=CA-347		latest	Complete Genome	Major	Full	2013/06/20	ASM41277v1	TGen North	GCA_000412775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/775/GCF_000412775.1_ASM41277v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000412775.1/GCF_000412775.1_ASM41277v1_genomic.gbff.gz
GCF_000418345.1	PRJNA224116	SAMN02603524			na		1280	1280	Staphylococcus aureus	strain=Bmb9393		latest	Complete Genome	Major	Full	2013/07/05	ASM41834v1	LNCC	GCA_000418345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/345/GCF_000418345.1_ASM41834v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000418345.1/GCF_000418345.1_ASM41834v1_genomic.gbff.gz
GCF_000452385.2	PRJNA224116	SAMN02393830			na		1381115	1280	Staphylococcus aureus subsp. aureus Tager 104	strain=Tager 104		latest	Complete Genome	Major	Full	2016/03/08	ASM45238v2	Auburn University	GCA_000452385.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/452/385/GCF_000452385.2_ASM45238v2	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000452385.2/GCF_000452385.2_ASM45238v2_genomic.gbff.gz
GCF_000462955.1	PRJNA224116	SAMN02604264			na		1392476	1280	Staphylococcus aureus subsp. aureus 6850	strain=6850		latest	Complete Genome	Major	Full	2013/08/30	ASM46295v1	University of Wuerzburg	GCA_000462955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/462/955/GCF_000462955.1_ASM46295v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000462955.1/GCF_000462955.1_ASM46295v1_genomic.gbff.gz
GCF_000463055.1	PRJNA224116	SAMN02603420			na		1193576	1280	Staphylococcus aureus subsp. aureus CN1	strain=CN1		latest	Complete Genome	Major	Full	2013/08/30	ASM46305v1	Integrated Genomics	GCA_000463055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/055/GCF_000463055.1_ASM46305v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000463055.1/GCF_000463055.1_ASM46305v1_genomic.gbff.gz
GCF_000470845.1	PRJNA224116	SAMN00996491			na		1201010	1280	Staphylococcus aureus subsp. aureus SA957	strain=SA957		latest	Complete Genome	Major	Full	2013/09/24	ASM47084v1	Chang Gung Memorial Hospital	GCA_000470845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/845/GCF_000470845.1_ASM47084v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000470845.1/GCF_000470845.1_ASM47084v1_genomic.gbff.gz
GCF_000470865.1	PRJNA224116	SAMN02603110			na		1194085	1280	Staphylococcus aureus subsp. aureus SA40	strain=SA40		latest	Complete Genome	Major	Full	2013/09/24	ASM47086v1	Chang Gung Memorial Hospital	GCA_000470865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/865/GCF_000470865.1_ASM47086v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000470865.1/GCF_000470865.1_ASM47086v1_genomic.gbff.gz
GCF_000485885.1	PRJNA224116	SAMN02370325			na		1406863	1280	Staphylococcus aureus subsp. aureus Z172	strain=Z172		latest	Complete Genome	Major	Full	2013/10/29	ASM48588v1	National Health Research Institutes	GCA_000485885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/885/GCF_000485885.1_ASM48588v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000485885.1/GCF_000485885.1_ASM48588v1_genomic.gbff.gz
GCF_000568455.1	PRJNA224116	SAMN03081531			na		1458279	1280	Staphylococcus aureus USA300-ISMMS1	strain=USA300-ISMMS1		latest	Complete Genome	Major	Full	2014/02/12	ASM56845v1	Mount Sinai School of Medicine	GCA_000568455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/455/GCF_000568455.1_ASM56845v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000568455.1/GCF_000568455.1_ASM56845v1_genomic.gbff.gz
GCF_000597965.1	PRJNA224116	SAMN02690781			na		1280	1280	Staphylococcus aureus	strain=502A	RN6607	latest	Complete Genome	Major	Full	2014/03/19	ASM59796v1	Columbia University	GCA_000597965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/965/GCF_000597965.1_ASM59796v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000597965.1/GCF_000597965.1_ASM59796v1_genomic.gbff.gz
GCF_000626615.2	PRJNA224116	SAMN02700075			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=FDAARGOS_5		latest	Complete Genome	Major	Full	2018/02/15	ASM62661v3	FDA	GCA_000626615.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/626/615/GCF_000626615.2_ASM62661v3	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000626615.2/GCF_000626615.2_ASM62661v3_genomic.gbff.gz
GCF_000695215.1	PRJNA224116	SAMN02767598			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=H-EMRSA-15		latest	Complete Genome	Major	Full	2014/05/20	ASM69521v1	University of Antwerpen	GCA_000695215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/215/GCF_000695215.1_ASM69521v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000695215.1/GCF_000695215.1_ASM69521v1_genomic.gbff.gz
GCF_000695875.1	PRJNA224116	SAMN02777327			na		1280	1280	Staphylococcus aureus	strain=UA-S391_USA300	abscess/wound isolate	latest	Complete Genome	Major	Full	2014/05/27	ASM69587v1	University of Antwerpen	GCA_000695875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/875/GCF_000695875.1_ASM69587v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000695875.1/GCF_000695875.1_ASM69587v1_genomic.gbff.gz
GCF_000737615.1	PRJNA224116	SAMN02261725			na		1368166	1280	Staphylococcus aureus subsp. aureus SA268	strain=SA268		latest	Complete Genome	Major	Full	2014/08/04	ASM73761v1	Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University	GCA_000737615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/615/GCF_000737615.1_ASM73761v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000737615.1/GCF_000737615.1_ASM73761v1_genomic.gbff.gz
GCF_000746505.1	PRJNA224116	SAMN03290990			na		1280	1280	Staphylococcus aureus	strain=2395 USA500		latest	Complete Genome	Major	Full	2014/08/29	ASM74650v1	Columbia University	GCA_000746505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/505/GCF_000746505.1_ASM74650v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000746505.1/GCF_000746505.1_ASM74650v1_genomic.gbff.gz
GCF_000756205.1	PRJNA224116	SAMN03009478			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=ATCC 25923		latest	Complete Genome	Major	Full	2014/09/18	ASM75620v1	NBACC	GCA_000756205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/205/GCF_000756205.1_ASM75620v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000756205.1/GCF_000756205.1_ASM75620v1_genomic.gbff.gz
GCF_000769575.1	PRJNA224116	SAMN03144721			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=Gv69		latest	Complete Genome	Major	Full	2014/10/28	ASM76957v1	LNCC	GCA_000769575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/575/GCF_000769575.1_ASM76957v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000769575.1/GCF_000769575.1_ASM76957v1_genomic.gbff.gz
GCF_000772025.1	PRJNA224116	SAMN03140315			na		46170	1280	Staphylococcus aureus subsp. aureus	strain=FORC_001		latest	Complete Genome	Major	Full	2014/11/05	ASM77202v1	Food-borne Pathogen Omics Research Center, FORC	GCA_000772025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/025/GCF_000772025.1_ASM77202v1	./datasets/species-specific/staphylococcus-aureus/annotation/genomes/refseq/bacteria/GCF_000772025.1/GCF_000772025.1_ASM77202v1_genomic.gbff.gz
